ID,original_Descrizione Regione,original_Codice Azienda,original_Tipo Azienda,original_Codice struttura,original_Subcodice,original_Denominazione Struttura/Stabilimento,original_Indirizzo,original_Codice Comune,original_Comune,original_Sigla Provincia,original_Codice tipo struttura,original_Descrizione tipo struttura,original_Codice disciplina,original_Descrizione disciplina,original_Tipo di Disciplina,original_N° Reparti,original_Posti letto degenza ordinaria,original_Posti letto degenza a pagamento,original_Posti letto Day Hospital,original_Posti letto Day Surgery,original_Totale posti letto,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level
1,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,2,DAY HOSPITAL,ACUTI,1,0,0,24,0,24,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
2,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,8,CARDIOLOGIA,ACUTI,1,17,0,0,0,17,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
3,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,9,CHIRURGIA GENERALE,ACUTI,1,28,0,0,0,28,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
4,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,26,MEDICINA GENERALE,ACUTI,2,46,0,0,0,46,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
5,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,36,ORTOPEDIA E TRAUMATOLOGIA,ACUTI,1,24,0,0,0,24,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
6,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,37,OSTETRICIA E GINECOLOGIA,ACUTI,1,16,0,0,0,16,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
7,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,40,PSICHIATRIA,ACUTI,1,16,0,2,0,18,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
8,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,49,TERAPIA INTENSIVA,ACUTI,3,19,0,0,0,19,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
9,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,50,UNITA` CORONARICA,ACUTI,1,7,0,0,0,7,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
10,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,51,ASTANTERIA,ACUTI,2,29,0,0,0,29,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
