to_stop_I,n_vehicles,route_I_counts,route_type,from_stop_I,duration_avg,BUS,TRAM,RAIL,SUBWAY,id,stop_I,name,latitude,longitude,lon_bus,lat_bus,lon_tram,lat_tram,stop_lon,stop_lat
1659,98,"{'49': 69, '46': 29}",3,72,40.0,1,0,0,0,28,72,ROCCA CENCIA/GIOIOSA JONICA,41.867586,12.689102,12.689102,41.867586,12.68781,41.865101,12.689102,41.867586
5563,12,{'348': 12},3,73,22.0,1,0,0,0,29,73,PRATI FISCALI/VAL DI SANGRO,41.945968,12.521851,12.521851,41.945968,12.52574,41.94714,12.521851,41.945968
3158,137,"{'218': 82, '147': 55}",3,73,59.0,1,0,0,0,29,73,PRATI FISCALI/VAL DI SANGRO,41.945968,12.521851,12.521851,41.945968,12.526256,41.945848,12.521851,41.945968
8292,59,{'124': 59},3,75,62.0,1,0,0,0,31,75,FOSSO OSA/MONTELAPIANO,41.902849,12.684791,12.684791,41.902849,12.686452,41.90093,12.684791,41.902849
3930,67,{'171': 67},3,76,53.0,1,0,0,0,32,76,LUCREZIA ROMANA,41.824006,12.586431,12.586431,41.824006,12.583833,41.826987,12.586431,41.824006
3435,54,{'146': 54},3,77,66.0,1,0,0,0,33,77,GORDIANI/AMALFI,41.886401,12.554396,12.554396,41.886401,12.554095,41.889529,12.554396,41.886401
4708,70,"{'289': 63, '357': 7}",3,79,23.0,1,0,0,0,34,79,SELVA CANDIDA/ROSSO E.,41.937262,12.378061,12.378061,41.937262,12.378685,41.938722,12.378061,41.937262
6351,47,{'42': 47},3,80,41.0,1,0,0,0,35,80,SESTO S. GIOVANNI/DRAGONE,41.789476,12.330582,12.330582,41.789476,12.33299,41.790907,12.330582,41.789476
7475,47,{'42': 47},3,81,27.0,1,0,0,0,36,81,TRADATE/BAREGGIO,41.791448,12.329542,12.329542,41.791448,12.329941,41.792583,12.329542,41.791448
117,478,"{'151': 35, '136': 46, '148': 66, '155': 76, '144': 48, '36': 23, '31': 59, '360': 7, '33': 64, '367': 7, '152': 47}",3,82,114.0,0,0,0,0,37,82,TIBURTINA/LINO DA PARMA,41.932141,12.581147,12.581147,41.932141,12.577088,41.929436,12.581147,41.932141
84,188,"{'31': 58, '360': 7, '33': 65, '151': 35, '36': 23}",3,83,31.0,1,0,0,0,38,83,TIBURTINA/TOR CERVARA,41.932732,12.588327,12.588327,41.932732,12.590991,41.932953,12.588327,41.932732
1775,188,"{'31': 58, '360': 7, '33': 65, '151': 35, '36': 23}",3,84,44.0,1,0,0,0,39,84,TIBURTINA/TIVOLI,41.932953,12.590991,12.590991,41.932953,12.594687,41.932563,12.590991,41.932953
6810,38,{'314': 38},3,85,55.0,1,0,0,0,40,85,CIMITERO/V.LE UFFICI,42.008463,12.493485,12.493485,42.008463,12.496081,42.008976,12.493485,42.008463
5145,30,{'14': 30},3,86,153.0,1,0,0,0,41,86,SALK/GHISALBA,41.989138,12.481125,12.481125,41.989138,12.478554,41.992787,12.481125,41.989138
4695,68,"{'289': 60, '357': 8}",3,87,104.0,1,0,0,0,42,87,SELVA CANDIDA/BASALUZZO,41.932181,12.376702,12.376702,41.932181,12.375812,41.928412,12.376702,41.932181
6291,70,"{'289': 63, '357': 7}",3,88,85.0,1,0,0,0,43,88,SELVA CANDIDA/BASALUZZO,41.932069,12.37688,12.37688,41.932069,12.377539,41.935182,12.37688,41.932069
7289,49,{'282': 49},3,89,82.0,1,0,0,0,44,89,DONNA OLIMPIA/FIORINI,41.875227,12.454793,12.454793,41.875227,12.453962,41.87799,12.454793,41.875227
5954,74,"{'5': 29, '4': 45}",3,92,46.0,1,0,0,0,45,92,GELLI/DANIELLO,41.789928,12.386423,12.386423,41.789928,12.384247,41.789393,12.386423,41.789928
7587,74,"{'5': 29, '4': 45}",3,93,56.0,1,0,0,0,46,93,GELLI/DANIELLO,41.789858,12.386478,12.386478,41.789858,12.389104,41.790458,12.386478,41.789858
3189,110,"{'128': 33, '369': 15, '129': 62}",3,94,48.0,1,0,0,0,47,94,INCISA VAL D'ARNO,41.978957,12.509104,12.509104,41.978957,12.510868,41.979998,12.509104,41.978957
2559,111,"{'128': 33, '369': 15, '129': 63}",3,95,122.0,1,0,0,0,48,95,INCISA VAL D'ARNO,41.979118,12.50905,12.50905,41.979118,12.510418,41.976905,12.50905,41.979118
7255,42,{'230': 42},3,96,982.0,1,0,0,0,49,96,CAVACEPPI/VICO CONSORTI,41.795613,12.432575,12.432575,41.795613,12.397347,41.776049,12.432575,41.795613
3215,67,{'277': 67},3,97,108.0,1,0,0,0,50,97,L.GO VALSABBIA,41.942862,12.515863,12.515863,41.942862,12.514524,41.945569,12.515863,41.942862
2410,44,{'122': 44},3,98,159.0,1,0,0,0,51,98,L.GO VALSABBIA,41.942924,12.515963,12.515963,41.942924,12.5225,41.941569,12.515963,41.942924
2410,2,{'131': 2},3,99,163.0,1,0,0,0,52,99,L.GO VALSABBIA,41.942831,12.516132,12.516132,41.942831,12.5225,41.941569,12.516132,41.942831
2864,75,{'165': 75},3,100,180.0,1,0,0,0,53,100,EMO/DI BARTOLO,41.902498,12.441357,12.441357,41.902498,12.437433,41.905203,12.441357,41.902498
3602,143,"{'163': 121, '344': 22}",3,100,119.0,1,0,0,0,53,100,EMO/DI BARTOLO,41.902498,12.441357,12.441357,41.902498,12.436551,41.900022,12.441357,41.902498
1167,91,"{'150': 35, '76': 56}",3,101,46.0,1,0,0,0,54,101,CAVE DI PIETRALATA,41.912685,12.541044,12.541044,41.912685,12.541894,41.913775,12.541044,41.912685
1162,91,"{'150': 35, '76': 56}",3,102,110.0,1,0,0,0,55,102,CAVE DI PIETRALATA,41.912801,12.540914,12.540914,41.912801,12.537924,41.909956,12.540914,41.912801
104,28,{'134': 28},3,103,34.0,1,0,0,0,56,103,MARCIGLIANA/BUFALOTTA,41.991357,12.552899,12.552899,41.991357,12.558128,41.991462,12.552899,41.991357
3497,14,{'134': 14},3,104,135.0,1,0,0,0,57,104,MARCIGLIANA/BUFALOTTA,41.991462,12.558128,12.558128,41.991462,12.57719,41.982283,12.558128,41.991462
3444,14,{'134': 14},3,104,120.0,1,0,0,0,57,104,MARCIGLIANA/BUFALOTTA,41.991462,12.558128,12.558128,41.991462,12.571287,41.986296,12.558128,41.991462
3361,316,"{'185': 60, '188': 69, '183': 112, '199': 75}",3,105,99.0,1,0,0,0,58,105,MONTI TIBURTINI/PERTINI (H),41.918398,12.538868,12.538868,41.918398,12.54328,41.916863,12.538868,41.918398
1169,38,{'158': 38},3,105,105.0,1,0,0,0,58,105,MONTI TIBURTINI/PERTINI (H),41.918398,12.538868,12.538868,41.918398,12.543594,41.917324,12.538868,41.918398
3319,358,"{'185': 59, '188': 71, '158': 38, '183': 113, '199': 77}",3,106,47.0,1,0,0,0,59,106,MONTI TIBURTINI/PERTINI (H),41.919181,12.536974,12.536974,41.919181,12.534819,41.919779,12.536974,41.919181
1780,153,"{'360': 7, '33': 64, '31': 59, '36': 23}",3,107,59.0,1,0,0,0,60,107,TIBURTINA/MOROLO,41.937198,12.617572,12.617572,41.937198,12.614878,41.936363,12.617572,41.937198
107,153,"{'360': 7, '33': 64, '31': 59, '36': 23}",3,108,34.0,1,0,0,0,61,108,TIBURTINA/SALONE,41.937649,12.619142,12.619142,41.937649,12.617572,41.937198,12.619142,41.937649
6089,72,{'28': 72},3,109,80.0,1,0,0,0,62,109,MAGNANO IN RIVIERA/NIMIS,41.994887,12.4818,12.4818,41.994887,12.48552,41.995759,12.4818,41.994887
2620,61,{'111': 61},3,111,72.0,1,0,0,0,63,111,AURELIA/PERSICHETTI,41.882983,12.340975,12.340975,41.882983,12.334294,41.885043,12.340975,41.882983
4853,24,{'112': 24},3,111,158.0,1,0,0,0,63,111,AURELIA/PERSICHETTI,41.882983,12.340975,12.340975,41.882983,12.321965,41.891114,12.340975,41.882983
157,58,{'79': 58},3,112,59.0,1,0,0,0,64,112,GARIBALDI/FABRIZI,41.88762,12.466636,12.466636,41.88762,12.467551,41.888385,12.466636,41.88762
7004,98,{'29': 98},3,113,32.0,1,0,0,0,65,113,NICCOLO' CAROSIO,41.978508,12.494308,12.494308,41.978508,12.493924,41.98104,12.494308,41.978508
3909,73,"{'170': 51, '344': 22}",3,114,136.0,1,0,0,0,66,114,TUSCOLANA/CENTRALE ENEL,41.845885,12.579692,12.579692,41.845885,12.574749,41.849286,12.579692,41.845885
3445,4,"{'279': 2, '134': 2}",3,115,86.0,1,0,0,0,67,115,TOR S. GIOVANNI,41.981909,12.564601,12.564601,41.981909,12.56767,41.984103,12.564601,41.981909
5893,14,{'134': 14},3,116,68.0,1,0,0,0,68,116,TOR S. GIOVANNI,41.981873,12.564239,12.564239,41.981873,12.561754,41.980898,12.564239,41.981873
3446,16,"{'279': 1, '134': 15}",3,116,100.0,1,0,0,0,68,116,TOR S. GIOVANNI,41.981873,12.564239,12.564239,41.981873,12.56028,41.97969,12.564239,41.981873
8296,23,{'36': 23},3,117,147.0,1,0,0,0,69,117,TIBURTINA/NASINI,41.929436,12.577088,12.577088,41.929436,12.572726,41.925392,12.577088,41.929436
1109,455,"{'151': 35, '148': 66, '155': 76, '144': 48, '136': 46, '31': 59, '360': 7, '33': 64, '367': 7, '152': 47}",3,117,114.0,1,0,0,0,69,117,TIBURTINA/NASINI,41.929436,12.577088,12.577088,41.929436,12.573776,41.926136,12.577088,41.929436
2257,43,{'139': 43},3,118,86.0,1,0,0,0,70,118,CAPUANA/DI BREME,41.945492,12.547177,12.547177,41.945492,12.547149,41.942374,12.547177,41.945492
3270,59,{'140': 59},3,118,85.0,1,0,0,0,70,118,CAPUANA/DI BREME,41.945492,12.547177,12.547177,41.945492,12.545193,41.943947,12.547177,41.945492
7054,43,{'228': 43},3,119,72.0,1,0,0,0,71,119,TRIGORIA/ANDRIULI,41.762043,12.477571,12.477571,41.762043,12.476815,41.759474,12.477571,41.762043
1188,268,"{'124': 61, '123': 59, '184': 74, '182': 36, '64': 38}",3,120,76.0,1,0,0,0,72,120,COLLATINA/BIROLLI,41.905024,12.599527,12.599527,41.905024,12.595782,41.9048,12.599527,41.905024
4237,3,{'52': 3},3,120,97.0,1,0,0,0,72,120,COLLATINA/BIROLLI,41.905024,12.599527,12.599527,41.905024,12.595224,41.904902,12.599527,41.905024
3334,35,{'151': 35},3,121,109.0,1,0,0,0,73,121,PESENTI/TIBURTINA,41.932137,12.599443,12.599443,41.932137,12.599014,41.929307,12.599443,41.932137
5171,58,{'31': 58},3,123,97.0,1,0,0,0,74,123,TIBURTINA/MOROLO,41.937401,12.618882,12.618882,41.937401,12.622695,41.936558,12.618882,41.937401
8340,72,"{'360': 7, '33': 65}",3,123,91.0,1,0,0,0,74,123,TIBURTINA/MOROLO,41.937401,12.618882,12.618882,41.937401,12.623225,41.937796,12.618882,41.937401
125,153,"{'360': 7, '33': 64, '31': 59, '36': 23}",3,124,117.0,1,0,0,0,75,124,TIBURTINA/CASTEL MADAMA,41.933755,12.603642,12.603642,41.933755,12.597967,41.932848,12.603642,41.933755
1783,188,"{'31': 59, '360': 7, '33': 64, '151': 35, '36': 23}",3,125,166.0,1,0,0,0,76,125,TIBURTINA/PESENTI,41.932848,12.597967,12.597967,41.932848,12.589923,41.93301,12.597967,41.932848
82,188,"{'31': 59, '360': 7, '33': 64, '151': 35, '36': 23}",3,126,100.0,1,0,0,0,77,126,TIBURTINA/TOR CERVARA,41.932713,12.58605,12.58605,41.932713,12.581147,41.932141,12.58605,41.932713
5332,35,{'169': 35},3,127,93.0,1,0,0,0,78,127,ROCCA CENCIA/STABILIMENTO AMA,41.884916,12.695302,12.695302,41.884916,12.694721,41.881687,12.695302,41.884916
1138,478,"{'151': 35, '136': 44, '148': 66, '155': 76, '144': 50, '36': 23, '31': 58, '360': 7, '33': 65, '367': 7, '152': 47}",3,128,112.0,1,0,0,0,79,128,TIBURTINA/NASINI,41.929832,12.577412,12.577412,41.929832,12.581713,41.93211,12.577412,41.929832
3450,53,{'147': 53},3,129,191.0,1,0,0,0,80,129,CASAL BOCCONE/ALMAVIVA,41.957857,12.557408,12.557408,41.957857,12.548041,41.966394,12.557408,41.957857
6667,1,{'30': 1},3,130,633.0,1,0,0,0,81,130,OSTIENSE/FOSSO DI DRAGONCELLO,41.769807,12.325069,12.325069,41.769807,12.32592,41.767439,12.325069,41.769807
1163,59,"{'368': 8, '30': 51}",3,130,610.0,1,0,0,0,81,130,OSTIENSE/FOSSO DI DRAGONCELLO,41.769807,12.325069,12.325069,41.769807,12.351943,41.779896,12.325069,41.769807
8253,150,"{'49': 72, '191': 40, '64': 38}",3,131,36.0,1,0,0,0,82,131,CHIODELLI/PUPPINI,41.90566,12.662278,12.662278,41.90566,12.662857,41.908449,12.662278,41.90566
6277,53,{'147': 53},3,132,61.0,1,0,0,0,83,132,CASAL BOCCONE/OJETTI,41.952226,12.559125,12.559125,41.952226,12.558734,41.950593,12.559125,41.952226
132,53,{'147': 53},3,133,99.0,1,0,0,0,84,133,CASAL BOCCONE/ALMAVIVA,41.957887,12.556998,12.556998,41.957887,12.559125,41.952226,12.556998,41.957887
135,52,{'239': 52},3,134,21.0,1,0,0,0,85,134,FIORANELLO/ARDEATINA,41.79549,12.535365,12.535365,41.79549,12.537452,41.794306,12.535365,41.79549
7884,52,{'239': 52},3,135,97.0,1,0,0,0,86,135,FIORANELLO/CIVICO 186,41.794306,12.537452,12.537452,41.794306,12.548101,41.789175,12.537452,41.794306
137,353,"{'90': 103, '156': 59, '356': 17, '360': 7, '101': 69, '119': 98}",3,136,81.0,1,0,0,0,87,136,TIBURTINA/PORTONACCIO,41.908064,12.535477,12.535477,41.908064,12.540447,41.908369,12.535477,41.908064
1165,91,"{'150': 35, '76': 56}",3,136,67.0,1,0,0,0,87,136,TIBURTINA/PORTONACCIO,41.908064,12.535477,12.535477,41.908064,12.53842,41.910177,12.535477,41.908064
138,353,"{'90': 103, '156': 59, '356': 17, '360': 7, '101': 69, '119': 98}",3,137,49.0,1,0,0,0,88,137,TIBURTINA/OTTOBONI,41.908369,12.540447,12.540447,41.908369,12.543423,41.90849,12.540447,41.908369
1131,189,"{'356': 17, '101': 69, '90': 103}",3,138,62.0,1,0,0,0,89,138,TIBURTINA/GALLA PLACIDIA,41.90849,12.543423,12.543423,41.90849,12.547005,41.909381,12.543423,41.90849
4036,164,"{'360': 7, '119': 98, '156': 59}",3,138,69.0,1,0,0,0,89,138,TIBURTINA/GALLA PLACIDIA,41.90849,12.543423,12.543423,41.90849,12.546893,41.908415,12.543423,41.90849
140,357,"{'90': 103, '156': 59, '356': 16, '360': 7, '101': 70, '119': 102}",3,139,50.0,1,0,0,0,90,139,TIBURTINA/GALLA PLACIDIA,41.908804,12.542928,12.542928,41.908804,12.540374,41.908686,12.542928,41.908804
153,357,"{'90': 103, '156': 59, '356': 16, '360': 7, '101': 70, '119': 102}",3,140,100.0,1,0,0,0,91,140,TIBURTINA/OTTOBONI,41.908686,12.540374,12.540374,41.908686,12.535116,41.908366,12.540374,41.908686
6315,63,"{'371': 11, '312': 52}",3,141,35.0,1,0,0,0,92,141,PALMAROLA NUOVA,41.948018,12.392367,12.392367,41.948018,12.390098,41.947615,12.392367,41.948018
